battery_id,car_model,battery_type,charging_speed,climate,depth_of_discharge,cycle_index,calendar_age_months,mileage_km,soh_percentage,capacity_Ah,voltage_V,temperature_C,internal_resistance_ohm,energy_throughput_kwh,total_lifespan_cycles,remaining_useful_cycles,remaining_useful_life_km,remaining_useful_life_months,eol_reached
BAT-TEST-L-00000,Model 3 Long Range,NCA,Fast (DC),Hot,Shallow (20-80%),1977,59.2,596354.6,53.89,42.49,353.54,44.9,0.113189,79911.16,4288,2311,693300,92.4,1
BAT-TEST-L-00001,BYD Blade EV,LFP,Ultra-Fast (HPC),Hot,Shallow (20-80%),2047,104.3,712228.2,58.51,46.63,354.38,44.9,0.108039,89822.48,4933,2886,865800,115.4,1
BAT-TEST-L-00002,BYD Blade EV,LFP,Slow (AC),Temperate,Deep (0-100%),3550,142.6,1012334.8,12.42,9.81,348.03,50.5,0.185444,33069.07,4053,503,150900,20.1,1
BAT-TEST-L-00003,Chevy Bolt EV,NMC,Slow (AC),Temperate,Shallow (20-80%),4445,148.3,1512250.6,24.58,18.55,344.92,35.9,0.169704,81941.38,5894,1449,434700,58.0,1
BAT-TEST-L-00004,Model Y Performance,NMC,Fast (DC),Cold,Shallow (20-80%),1744,77.1,436267.8,68.25,53.18,338.98,18.8,0.095335,89269.09,5493,3749,1124700,150.0,1
BAT-TEST-L-00005,Model Y Performance,NCA,Fast (DC),Hot,Shallow (20-80%),1087,47.8,298276.2,80.88,65.38,338.34,31.0,0.078793,65938.43,5686,4599,1379700,184.0,0
BAT-TEST-L-00006,Model 3 Long Range,NMC,Slow (AC),Hot,Shallow (20-80%),3474,173.5,1248750.0,36.09,28.75,354.94,40.1,0.147005,94038.04,5436,1962,588600,78.5,1
BAT-TEST-L-00007,Tesla Model S,NMC,Fast (DC),Hot,Moderate (10-90%),825,48.4,234442.0,85.96,67.39,339.18,35.3,0.070132,53185.96,5875,5050,1515000,202.0,0
BAT-TEST-L-00008,Model 3 Long Range,LFP,Slow (AC),Hot,Shallow (20-80%),1296,37.3,399383.4,71.33,56.13,354.57,15.6,0.094636,69333.95,4521,3225,967500,129.0,1
BAT-TEST-L-00009,BYD Blade EV,LFP,Ultra-Fast (HPC),Hot,Deep (0-100%),3733,177.6,1214010.0,26.14,20.59,335.72,22.4,0.165743,73198.93,5054,1321,396300,52.8,1
BAT-TEST-L-00010,Model Y Performance,LFP,Slow (AC),Cold,Moderate (10-90%),2397,139.5,870731.2,57.11,45.41,334.23,46.7,0.098121,102668.33,5589,3192,957600,127.7,1
BAT-TEST-L-00011,Model 3 Long Range,NCA,Slow (AC),Temperate,Deep (0-100%),2816,181.1,956764.6,39.93,32.96,332.68,43.3,0.139636,84334.73,4688,1872,561600,74.9,1
BAT-TEST-L-00012,Model 3 Long Range,LFP,Fast (DC),Temperate,Deep (0-100%),3458,106.2,1008900.9,25.46,21.05,340.93,45.1,0.158721,66032.73,4639,1181,354300,47.2,1
BAT-TEST-L-00013,Model 3 Long Range,NCA,Fast (DC),Temperate,Shallow (20-80%),1169,44.2,370968.2,76.78,61.25,353.4,16.5,0.086469,67313.49,5034,3865,1159500,154.6,1
BAT-TEST-L-00014,Model 3 Long Range,NMC,Fast (DC),Hot,Shallow (20-80%),393,18.7,118443.2,92.07,73.63,337.92,37.9,0.051511,27136.48,4953,4560,1368000,182.4,0
BAT-TEST-L-00015,Tesla Model S,NMC,Fast (DC),Cold,Shallow (20-80%),3360,118.0,924411.2,29.75,22.95,345.42,39.2,0.157039,74970.15,4783,1423,426900,56.9,1
BAT-TEST-L-00016,Model 3 Long Range,NMC,Slow (AC),Cold,Moderate (10-90%),4128,193.8,1166958.6,17.1,14.44,354.11,30.9,0.166902,52950.03,4980,852,255600,34.1,1
BAT-TEST-L-00017,Tesla Model S,NMC,Fast (DC),Temperate,Shallow (20-80%),1946,61.1,668698.8,61.3,49.45,338.17,42.5,0.114617,89469.71,5029,3083,924900,123.3,1
BAT-TEST-L-00018,Model Y Performance,NMC,Fast (DC),Cold,Shallow (20-80%),1571,66.9,577268.3,71.96,57.75,343.75,43.5,0.087465,84792.04,5604,4033,1209900,161.3,1
BAT-TEST-L-00019,BYD Blade EV,LFP,Fast (DC),Temperate,Moderate (10-90%),2722,152.4,866855.8,33.48,26.8,355.57,36.1,0.153723,68350.03,4092,1370,411000,54.8,1
